geneID,KEGGID,S2_1,S2_2,S2_3,CPSF1_1,CPSF1_2,CPSF1_3
gene0,--,0,0,0,0,0,0
gene1,--,0,0,0,0,0,0
gene10,MMP0005,688,293,479,568,556,564
gene100,MMP0088,2356,1047,1743,2331,2040,2063
gene1000,MMP0971,5266,2943,4024,3987,3748,3672
gene1001,MMP0972,836,272,518,843,703,704
gene1002,MMP0973,62,19,36,66,55,72
gene1003,MMP0974,54,38,32,65,45,48
gene1004,MMP0975,1133,583,828,468,355,318
gene1005,MMP0976,485,214,354,878,769,827
gene1006,MMP0977,492,234,337,813,793,815
gene1007,MMP0978,379,108,207,330,241,181
gene1008,MMP0979,1310,445,927,501,359,262
gene1009,MMP0980,6523,4338,5936,2868,1760,1448
gene101,MMP0089,426,102,192,514,413,388
gene1010,MMP0981,5116,4662,5165,2253,1204,1144
gene1011,MMP0982,1817,790,1444,850,459,414
gene1012,MMP0983,5651,3298,5091,2619,1400,1413
gene1013,MMP0984,1634,743,1336,733,415,419
gene1014,MMP0985,12417,8925,11315,4289,3435,3484
gene1015,MMP0986,926,237,554,1172,882,969
gene1016,MMP0987,948,430,698,1269,1094,1163
gene1017,MMP0988,144,78,130,429,404,447
gene1018,MMP0989,7099,4397,6107,3786,3628,3470
gene1019,MMP0990,666,362,468,325,300,300
gene102,MMP0090,190,42,96,928,803,823
gene1020,MMP0991,2977,1317,2076,1564,1473,1456
gene1021,MMP0992,4326,989,2293,2616,2311,2491
gene1022,MMP0993,75,18,37,105,96,104
gene1023,MMP0994,22,17,6,37,36,31
gene1024,MMP0995,66,42,61,121,119,111
gene1025,MMP0996,202,52,153,355,354,353
gene1026,MMP0997,724,356,539,666,591,583
gene1027,MMP0998,88,106,108,180,188,157
gene1028,MMP0999,593,237,427,720,615,656
gene1029,MMP1000,83,14,36,87,63,81
gene103,MMP0091,3596,2109,2844,8811,8386,8634
gene1030,MMP1001,712,354,540,735,687,719
gene1031,MMP1002,797,458,649,427,429,360
gene1032,MMP1003,1008,1022,1011,540,597,526
gene1033,MMP1004,284,144,219,151,159,134
gene1034,MMP1005,303,264,278,186,182,152
gene1035,MMP1006,899,688,803,453,454,404
gene1036,MMP1007,717,383,535,339,326,275
gene1037,MMP1008,356,250,296,223,259,201
gene1038,MMP1009,697,294,477,891,801,783
gene1039,MMP1010,338,137,257,608,550,551
gene104,MMP0092,2724,627,1520,3330,2860,2966
gene1040,MMP1011,4562,2564,3784,3000,2634,2556
gene1041,MMP1012,657,370,526,501,476,464
gene1042,MMP1013,14657,8982,11467,9417,9343,8804
gene1043,MMP1014,1498,756,1034,2147,2056,2282
gene1044,MMP1015,1943,617,1062,2074,1781,1932
gene1045,MMP1016,8490,4135,6286,7593,7330,7074
gene1046,MMP1017,4298,2695,3789,2074,1953,1999
gene1047,MMP1018,4436,2733,3477,3570,3562,3544
gene1048,MMP1019,339,142,211,763,670,742
gene1049,MMP1020,464,176,308,733,1166,972
gene105,MMP0093,12893,7833,9914,8136,7403,7927
gene1050,MMP1021,4736,2168,2289,2404,4512,3178
gene1051,MMP1022,3285,1346,1590,1831,3254,2324
gene1052,MMP1023,1335,351,531,781,1316,959
gene1053,MMP1024,1867,969,1393,6168,6084,5935
gene1054,MMP1025,447,118,222,996,838,962
gene1055,MMP1026,2959,2194,2749,2927,3029,2990
gene1056,MMP1027,447,253,371,408,408,393
gene1057,MMP1028,2056,997,1466,2445,2279,2423
gene1058,MMP1029,368,62,160,451,382,415
gene1059,MMP1030,5426,2462,3792,7236,6902,6818
gene106,MMP0094,2989,2001,2325,2907,2767,2894
gene1060,MMP1031,7019,4654,5584,7372,6610,6444
gene1061,MMP1032,5001,3047,4168,4533,4451,4620
gene1062,MMP1033,7383,3634,5379,8077,7270,7513
gene1063,MMP1034,698,242,442,891,755,845
gene1064,MMP1035,1926,1209,1741,1725,1625,1546
gene1065,MMP1036,4694,2886,4010,4052,3710,3615
gene1066,MMP1037,98,27,61,528,450,457
gene1067,MMP1038,9774,3722,6923,5622,4606,5244
gene1068,MMP1039,93077,57045,84192,54293,48344,48583
gene1069,MMP1040,18993,14032,17496,10667,9431,9539
gene107,MMP0095,1524,720,1185,1101,1010,1013
gene1070,MMP1041,20727,13093,18657,12065,10620,10609
gene1071,MMP1042,45541,24052,37883,26555,22632,22111
gene1072,MMP1043,3117,1750,2429,1734,1301,1461
gene1073,MMP1044,74264,55883,71502,43072,38652,36773
gene1074,MMP1045,68086,72418,71809,39147,36854,33698
gene1075,MMP1046,22043,14942,19586,12606,11752,10802
gene1076,MMP1047,13707,5030,9904,7179,6113,6213
gene1077,MMP1048,483,213,345,1043,887,1103
gene1078,MMP1049,2188,954,1594,1792,1580,1516
