"V1","V2","V3","V4","V5","V6","V7","V8","V9","gene","TES_end","TES_pos_num","TES_pos","TES_pos_max","TES_type"
"NC_005791.1","RefSeq","gene",68,182,".","-",".","gene_id RNA_46; gene_name RNA_46;","RNA_46",1,1,"41","41","T1"
"NC_005791.1","RefSeq","gene",244,3200,".","-",".","gene_id RNA_38; gene_name RNA_38;","RNA_38",44,9,"48;51;53;59;66;228;236;240;244","66","T1"
"NC_005791.1","RefSeq","gene",3402,4793,".","-",".","gene_id RNA_39; gene_name RNA_39;","RNA_39",3202,4,"3298;3342;3348;3354","3354","T1"
"NC_005791.1","RefSeq","gene",5109,5223,".","-",".","gene_id RNA_47; gene_name RNA_47;","RNA_47",4909,4,"5029;5055;5067;5082","5082","T1"
"NC_005791.1","RefSeq","gene",5285,8241,".","-",".","gene_id RNA_40; gene_name RNA_40;","RNA_40",5085,10,"5089;5092;5094;5100;5107;5259;5269;5277;5281;5285","5107","T1"
"NC_005791.1","RefSeq","gene",8443,9834,".","-",".","gene_id RNA_41; gene_name RNA_41;","RNA_41",8243,4,"8339;8383;8389;8395","8395","T1"
"NC_005791.1","RefSeq","gene",10104,10385,".","+",".","gene_id MMP0001; gene_name MMP0001;","MMP0001",10585,1,"10515","10515","T1"
"NC_005791.1","RefSeq","gene",10416,11480,".","+",".","gene_id MMP0002; gene_name MMP0002;","MMP0002",11680,3,"11532;11539;11652","11532","T1"
"NC_005791.1","RefSeq","gene",11517,12608,".","-",".","gene_id MMP0003; gene_name MMP0003;","MMP0003",11317,1,"11474","11474","T1"
"NC_005791.1","RefSeq","gene",12647,13543,".","-",".","gene_id MMP0004; gene_name MMP0004;","MMP0004",12447,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",13625,15208,".","-",".","gene_id MMP0005; gene_name MMP0005;","MMP0005",13425,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",15336,16421,".","+",".","gene_id MMP0006; gene_name MMP0006;","MMP0006",16621,1,"16432","16432","T1"
"NC_005791.1","RefSeq","gene",16803,17573,".","+",".","gene_id MMP0007; gene_name MMP0007;","MMP0007",17773,2,"17620;17629","17620","T1"
"NC_005791.1","RefSeq","gene",17602,19359,".","-",".","gene_id MMP0008; gene_name MMP0008;","MMP0008",17402,1,"17416","17416","T2"
"NC_005791.1","RefSeq","gene",19370,20488,".","-",".","gene_id MMP0009; gene_name MMP0009;","MMP0009",19170,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",20506,20931,".","-",".","gene_id MMP0010; gene_name MMP0010;","MMP0010",20306,1,"20408","20408","T1"
"NC_005791.1","RefSeq","gene",20974,22041,".","-",".","gene_id MMP0011; gene_name MMP0011;","MMP0011",20774,1,"20929","20929","T1"
"NC_005791.1","RefSeq","gene",22111,22560,".","+",".","gene_id MMP0012; gene_name MMP0012;","MMP0012",22760,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",22602,24047,".","+",".","gene_id MMP0013; gene_name MMP0013;","MMP0013",24247,1,"24148","24148","T1"
"NC_005791.1","RefSeq","gene",24061,25230,".","-",".","gene_id MMP0014; gene_name MMP0014;","MMP0014",23861,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",25243,26046,".","-",".","gene_id MMP0015; gene_name MMP0015;","MMP0015",25043,3,"25053;25112;25210","25112","T1"
"NC_005791.1","RefSeq","gene",26061,26552,".","-",".","gene_id MMP0016; gene_name MMP0016;","MMP0016",25861,2,"25915;25921","25921","T1"
"NC_005791.1","RefSeq","gene",26673,27725,".","-",".","gene_id MMP0017; gene_name MMP0017;","MMP0017",26473,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",27798,28640,".","+",".","gene_id MMP0018; gene_name MMP0018;","MMP0018",28840,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",28670,28897,".","-",".","gene_id MMP0019; gene_name MMP0019;","MMP0019",28470,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",28989,29414,".","-",".","gene_id MMP0020; gene_name MMP0020;","MMP0020",28789,3,"28923;28932;28966","28932","T1"
"NC_005791.1","RefSeq","gene",29531,30406,".","+",".","gene_id MMP0021; gene_name MMP0021;","MMP0021",30606,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",30411,30746,".","-",".","gene_id MMP0022; gene_name MMP0022;","MMP0022",30211,2,"30349;30384","30384","T1"
"NC_005791.1","RefSeq","gene",30743,31567,".","-",".","gene_id MMP0023; gene_name MMP0023;","MMP0023",30543,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",31747,32862,".","+",".","gene_id MMP0024; gene_name MMP0024;","MMP0024",33062,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",32916,33188,".","-",".","gene_id MMP0025; gene_name MMP0025;","MMP0025",32716,3,"32847;32873;32881","32881","T1"
"NC_005791.1","RefSeq","gene",33256,36651,".","-",".","gene_id MMP0026; gene_name MMP0026;","MMP0026",33056,1,"33233","33233","T1"
"NC_005791.1","RefSeq","gene",36828,37057,".","-",".","gene_id RNA_45; gene_name RNA_45;","RNA_45",36628,5,"36643;36687;36804;36811;36818","36818","T1"
"NC_005791.1","RefSeq","gene",37119,37233,".","-",".","gene_id RNA_48; gene_name RNA_48;","RNA_48",36919,1,"37091","37091","T1"
"NC_005791.1","RefSeq","gene",37295,40251,".","-",".","gene_id RNA_42; gene_name RNA_42;","RNA_42",37095,9,"37100;37105;37107;37113;37117;37279;37287;37291;37295","37117","T1"
"NC_005791.1","RefSeq","gene",40358,40430,".","-",".","gene_id RNA_36; gene_name RNA_36;","RNA_36",40158,3,"40190;40232;40272","40232","T1"
"NC_005791.1","RefSeq","gene",40534,41925,".","-",".","gene_id RNA_44; gene_name RNA_44;","RNA_44",40334,6,"40351;40355;40468;40474;40480;40486","40355","T1"
"NC_005791.1","RefSeq","gene",42181,43188,".","-",".","gene_id MMP0027; gene_name MMP0027;","MMP0027",41981,2,"42152;42158","42158","T1"
"NC_005791.1","RefSeq","gene",43261,44712,".","+",".","gene_id MMP0028; gene_name MMP0028;","MMP0028",44912,1,"44785","44785","T2"
"NC_005791.1","RefSeq","gene",44777,45415,".","-",".","gene_id MMP0029; gene_name MMP0029;","MMP0029",44577,3,"44690;44718;44724","44724","T1"
"NC_005791.1","RefSeq","gene",45639,47657,".","+",".","gene_id MMP0030; gene_name MMP0030;","MMP0030",47857,2,"47747;47754","47747","T1"
"NC_005791.1","RefSeq","gene",47673,48755,".","+",".","gene_id MMP0031; gene_name MMP0031;","MMP0031",48955,1,"48765","48765","T1"
"NC_005791.1","RefSeq","gene",49388,49909,".","-",".","gene_id MMP0032; gene_name MMP0032;","MMP0032",49188,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",50520,51746,".","+",".","gene_id MMP0033; gene_name MMP0033;","MMP0033",51946,1,"51768","51768","T1"
"NC_005791.1","RefSeq","gene",51767,52714,".","+",".","gene_id MMP0034; gene_name MMP0034;","MMP0034",52914,4,"52730;52760;52768;52886","52760","T1"
"NC_005791.1","RefSeq","gene",52740,53789,".","+",".","gene_id MMP0035; gene_name MMP0035;","MMP0035",53989,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",53793,54350,".","+",".","gene_id MMP0036; gene_name MMP0036;","MMP0036",54550,2,"54403;54470","54403","T1"
"NC_005791.1","RefSeq","gene",54361,54948,".","+",".","gene_id MMP0037; gene_name MMP0037;","MMP0037",55148,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",54975,55871,".","-",".","gene_id MMP0038; gene_name MMP0038;","MMP0038",54775,2,"54780;54863","54780","T2"
"NC_005791.1","RefSeq","gene",55876,56934,".","-",".","gene_id MMP0039; gene_name MMP0039;","MMP0039",55676,2,"55705;55782","55782","T1"
"NC_005791.1","RefSeq","gene",56946,58595,".","-",".","gene_id MMP0040; gene_name MMP0040;","MMP0040",56746,2,"56837;56861","56837","T1"
"NC_005791.1","RefSeq","gene",58605,59624,".","-",".","gene_id MMP0041; gene_name MMP0041;","MMP0041",58405,2,"58494;58555","58494","T1"
"NC_005791.1","RefSeq","gene",59643,59924,".","-",".","gene_id MMP0042; gene_name MMP0042;","MMP0042",59443,3,"59486;59574;59583","59583","T1"
"NC_005791.1","RefSeq","gene",60428,61495,".","+",".","gene_id MMP0043; gene_name MMP0043;","MMP0043",61695,1,"61515","61515","T1"
"NC_005791.1","RefSeq","gene",61568,62914,".","+",".","gene_id MMP0044; gene_name MMP0044;","MMP0044",63114,1,"63070","63070","T1"
"NC_005791.1","RefSeq","gene",62928,63881,".","+",".","gene_id MMP0045; gene_name MMP0045;","MMP0045",64081,4,"63912;63919;63933;63985","63912","T1"
"NC_005791.1","RefSeq","gene",63932,64384,".","+",".","gene_id MMP0046; gene_name MMP0046;","MMP0046",64584,4,"64455;64480;64563;64574","64480","T1"
"NC_005791.1","RefSeq","gene",64389,65498,".","-",".","gene_id MMP0047; gene_name MMP0047;","MMP0047",64189,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",65556,65828,".","+",".","gene_id MMP0048; gene_name MMP0048;","MMP0048",66028,1,"65838","65838","T1"
"NC_005791.1","RefSeq","gene",65867,66322,".","+",".","gene_id MMP0049; gene_name MMP0049;","MMP0049",66522,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",66371,66784,".","+",".","gene_id MMP0050; gene_name MMP0050;","MMP0050",66984,1,"66811","66811","T1"
"NC_005791.1","RefSeq","gene",66822,67112,".","+",".","gene_id MMP0051; gene_name MMP0051;","MMP0051",67312,1,"67141","67141","T1"
"NC_005791.1","RefSeq","gene",67114,68025,".","-",".","gene_id MMP0052; gene_name MMP0052;","MMP0052",66914,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",68156,68896,".","-",".","gene_id MMP0053; gene_name MMP0053;","MMP0053",67956,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",68893,69501,".","-",".","gene_id MMP0054; gene_name MMP0054;","MMP0054",68693,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",69515,69994,".","-",".","gene_id MMP0055; gene_name MMP0055;","MMP0055",69315,2,"69374;69376","69374","T1"
"NC_005791.1","RefSeq","gene",70102,71181,".","-",".","gene_id MMP0056; gene_name MMP0056;","MMP0056",69902,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",71296,72372,".","-",".","gene_id MMP0057; gene_name MMP0057;","MMP0057",71096,3,"71198;71206;71276","71206","T1"
"NC_005791.1","RefSeq","gene",72602,73564,".","+",".","gene_id MMP0058; gene_name MMP0058;","MMP0058",73764,4,"73588;73594;73600;73648","73588","T1"
"NC_005791.1","RefSeq","gene",73629,74051,".","-",".","gene_id MMP0059; gene_name MMP0059;","MMP0059",73429,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",74160,74390,".","-",".","gene_id MMP0060; gene_name MMP0060;","MMP0060",73960,7,"74050;74062;74066;74119;74128;74134;74144","74134","T1"
"NC_005791.1","RefSeq","gene",74409,75092,".","-",".","gene_id MMP0061; gene_name MMP0061;","MMP0061",74209,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",75129,75380,".","-",".","gene_id MMP0062; gene_name MMP0062;","MMP0062",74929,3,"75055;75104;75110","75110","T1"
"NC_005791.1","RefSeq","gene",75475,76359,".","+",".","gene_id MMP0063; gene_name MMP0063;","MMP0063",76559,5,"76401;76464;76491;76495;76500","76401","T1"
"NC_005791.1","RefSeq","gene",76751,77089,".","+",".","gene_id MMP0064; gene_name MMP0064;","MMP0064",77289,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",77116,78342,".","+",".","gene_id MMP0065; gene_name MMP0065;","MMP0065",78542,2,"78406;78412","78406","T1"
"NC_005791.1","RefSeq","gene",78446,78784,".","+",".","gene_id MMP0066; gene_name MMP0066;","MMP0066",78984,10,"78815;78822;78829;78831;78838;78841;78849;78868;78880;78941","78822","T1"
"NC_005791.1","RefSeq","gene",78986,79324,".","+",".","gene_id MMP0067; gene_name MMP0067;","MMP0067",79524,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",79353,80588,".","+",".","gene_id MMP0068; gene_name MMP0068;","MMP0068",80788,2,"80648;80656","80648","T1"
"NC_005791.1","RefSeq","gene",80649,80948,".","+",".","gene_id MMP0069; gene_name MMP0069;","MMP0069",81148,1,"81066","81066","T1"
"NC_005791.1","RefSeq","gene",81202,82140,".","+",".","gene_id MMP0070; gene_name MMP0070;","MMP0070",82340,4,"82198;82233;82260;82282","82260","T1"
"NC_005791.1","RefSeq","gene",82185,82258,".","-",".","gene_id RNA_35; gene_name RNA_35;","RNA_35",81985,4,"82172;82175;82179;82182","82182","T1"
"NC_005791.1","RefSeq","gene",82518,82593,".","+",".","gene_id RNA_1; gene_name RNA_1;","RNA_1",82793,2,"82593;82600","82593","T1"
"NC_005791.1","RefSeq","gene",82661,83734,".","-",".","gene_id MMP0071; gene_name MMP0071;","MMP0071",82461,3,"82501;82515;82526","82526","T1"
"NC_005791.1","RefSeq","gene",83849,84829,".","+",".","gene_id MMP0072; gene_name MMP0072;","MMP0072",85029,2,"84858;84892","84892","T1"
"NC_005791.1","RefSeq","gene",84962,86155,".","+",".","gene_id MMP0073; gene_name MMP0073;","MMP0073",86355,5,"86193;86226;86230;86232;86238","86226","T1"
"NC_005791.1","RefSeq","gene",86225,86581,".","+",".","gene_id MMP0074; gene_name MMP0074;","MMP0074",86781,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",86570,87538,".","-",".","gene_id MMP0075; gene_name MMP0075;","MMP0075",86370,1,"86429","86429","T1"
"NC_005791.1","RefSeq","gene",87608,87817,".","-",".","gene_id MMP0076; gene_name MMP0076;","MMP0076",87408,4,"87414;87489;87493;87503","87503","T1"
"NC_005791.1","RefSeq","gene",87961,88689,".","+",".","gene_id MMP0077; gene_name MMP0077;","MMP0077",88889,2,"88729;88878","88729","T1"
"NC_005791.1","RefSeq","gene",88705,89550,".","-",".","gene_id MMP0078; gene_name MMP0078;","MMP0078",88505,2,"88550;88596","88550","T1"
"NC_005791.1","RefSeq","gene",89745,90362,".","+",".","gene_id MMP0079; gene_name MMP0079;","MMP0079",90562,2,"90377;90531","90531","T1"
"NC_005791.1","RefSeq","gene",90509,91600,".","+",".","gene_id MMP0080; gene_name MMP0080;","MMP0080",91800,1,"91664","91664","T1"
"NC_005791.1","RefSeq","gene",91628,93160,".","+",".","gene_id MMP0081; gene_name MMP0081;","MMP0081",93360,1,"93174","93174","T2"
"NC_005791.1","RefSeq","gene",93160,93951,".","+",".","gene_id MMP0082; gene_name MMP0082;","MMP0082",94151,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",93984,95063,".","+",".","gene_id MMP0083; gene_name MMP0083;","MMP0083",95263,4,"95095;95103;95241;95249","95095","T1"
"NC_005791.1","RefSeq","gene",95381,96094,".","-",".","gene_id MMP0084; gene_name MMP0084;","MMP0084",95181,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",96131,97177,".","-",".","gene_id MMP0085; gene_name MMP0085;","MMP0085",95931,1,"96022","96022","T1"
"NC_005791.1","RefSeq","gene",97177,97641,".","-",".","gene_id MMP0086; gene_name MMP0086;","MMP0086",96977,2,"97019;97056","97056","T1"
"NC_005791.1","RefSeq","gene",97761,98987,".","-",".","gene_id MMP0087; gene_name MMP0087;","MMP0087",97561,2,"97665;97728","97728","T1"
"NC_005791.1","RefSeq","gene",98977,100125,".","-",".","gene_id MMP0088; gene_name MMP0088;","MMP0088",98777,2,"98878;98890","98878","T1"
"NC_005791.1","RefSeq","gene",100130,100735,".","-",".","gene_id MMP0089; gene_name MMP0089;","MMP0089",99930,2,"100112;100124","100124","T1"
"NC_005791.1","RefSeq","gene",100750,101817,".","-",".","gene_id MMP0090; gene_name MMP0090;","MMP0090",100550,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",101838,102422,".","-",".","gene_id MMP0091; gene_name MMP0091;","MMP0091",101638,9,"101750;101758;101763;101765;101773;101779;101782;101819;101827","101827","T1"
"NC_005791.1","RefSeq","gene",102523,102846,".","-",".","gene_id MMP0092; gene_name MMP0092;","MMP0092",102323,3,"102387;102421;102506","102506","T1"
"NC_005791.1","RefSeq","gene",102895,103188,".","-",".","gene_id MMP0093; gene_name MMP0093;","MMP0093",102695,3,"102763;102869;102873","102873","T1"
"NC_005791.1","RefSeq","gene",103274,104686,".","-",".","gene_id MMP0094; gene_name MMP0094;","MMP0094",103074,2,"103187;103224","103187","T1"
"NC_005791.1","RefSeq","gene",104708,105892,".","+",".","gene_id MMP0095; gene_name MMP0095;","MMP0095",106092,2,"105953;105965","105953","T1"
"NC_005791.1","RefSeq","gene",105895,107082,".","-",".","gene_id MMP0096; gene_name MMP0096;","MMP0096",105695,2,"105728;105883","105728","T1"
"NC_005791.1","RefSeq","gene",107207,107755,".","+",".","gene_id MMP0097; gene_name MMP0097;","MMP0097",107955,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",107786,107983,".","-",".","gene_id MMP0098; gene_name MMP0098;","MMP0098",107586,5,"107646;107655;107684;107752;107759","107759","T1"
"NC_005791.1","RefSeq","gene",108126,109277,".","+",".","gene_id MMP0099; gene_name MMP0099;","MMP0099",109477,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",109297,110475,".","-",".","gene_id MMP0100; gene_name MMP0100;","MMP0100",109097,2,"109258;109266","109266","T1"
"NC_005791.1","RefSeq","gene",110490,110975,".","-",".","gene_id MMP0101; gene_name MMP0101;","MMP0101",110290,2,"110468;110474","110474","T1"
"NC_005791.1","RefSeq","gene",111064,111702,".","+",".","gene_id MMP0102; gene_name MMP0102;","MMP0102",111902,1,"111759","111759","T1"
"NC_005791.1","RefSeq","gene",111821,112720,".","+",".","gene_id MMP0103; gene_name MMP0103;","MMP0103",112920,4,"112751;112777;112782;112903","112903","T1"
