"V1","V2","V3","V4","V5","V6","V7","V8","V9","gene","TES_end","TES_pos_num","TES_pos","TES_pos_max","TES_type"
"NC_005791.1","RefSeq","gene",68,182,".","-",".","gene_id RNA_46; gene_name RNA_46;","RNA_46",1,3,"26;37;41","41","T1"
"NC_005791.1","RefSeq","gene",244,3200,".","-",".","gene_id RNA_38; gene_name RNA_38;","RNA_38",44,7,"45;49;51;54;66;227;234","234","T1"
"NC_005791.1","RefSeq","gene",3402,4793,".","-",".","gene_id RNA_39; gene_name RNA_39;","RNA_39",3202,3,"3339;3343;3354","3354","T1"
"NC_005791.1","RefSeq","gene",5109,5223,".","-",".","gene_id RNA_47; gene_name RNA_47;","RNA_47",4909,2,"5078;5082","5082","T1"
"NC_005791.1","RefSeq","gene",5285,8241,".","-",".","gene_id RNA_40; gene_name RNA_40;","RNA_40",5085,7,"5086;5090;5092;5095;5107;5268;5275","5107","T1"
"NC_005791.1","RefSeq","gene",8443,9834,".","-",".","gene_id RNA_41; gene_name RNA_41;","RNA_41",8243,3,"8380;8384;8395","8395","T1"
"NC_005791.1","RefSeq","gene",10104,10385,".","+",".","gene_id MMP0001; gene_name MMP0001;","MMP0001",10585,1,"10581","10581","T1"
"NC_005791.1","RefSeq","gene",10416,11480,".","+",".","gene_id MMP0002; gene_name MMP0002;","MMP0002",11680,2,"11518;11532","11518","T1"
"NC_005791.1","RefSeq","gene",11517,12608,".","-",".","gene_id MMP0003; gene_name MMP0003;","MMP0003",11317,2,"11342;11474","11474","T1"
"NC_005791.1","RefSeq","gene",12647,13543,".","-",".","gene_id MMP0004; gene_name MMP0004;","MMP0004",12447,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",13625,15208,".","-",".","gene_id MMP0005; gene_name MMP0005;","MMP0005",13425,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",15336,16421,".","+",".","gene_id MMP0006; gene_name MMP0006;","MMP0006",16621,3,"16441;16447;16454","16447","T1"
"NC_005791.1","RefSeq","gene",16803,17573,".","+",".","gene_id MMP0007; gene_name MMP0007;","MMP0007",17773,1,"17620","17620","T1"
"NC_005791.1","RefSeq","gene",17602,19359,".","-",".","gene_id MMP0008; gene_name MMP0008;","MMP0008",17402,1,"17565","17565","T1"
"NC_005791.1","RefSeq","gene",19370,20488,".","-",".","gene_id MMP0009; gene_name MMP0009;","MMP0009",19170,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",20506,20931,".","-",".","gene_id MMP0010; gene_name MMP0010;","MMP0010",20306,1,"20408","20408","T1"
"NC_005791.1","RefSeq","gene",20974,22041,".","-",".","gene_id MMP0011; gene_name MMP0011;","MMP0011",20774,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",22111,22560,".","+",".","gene_id MMP0012; gene_name MMP0012;","MMP0012",22760,0,NA,NA,"T3"
"NC_005791.1","RefSeq","gene",22602,24047,".","+",".","gene_id MMP0013; gene_name MMP0013;","MMP0013",24247,1,"24148","24148","T1"
"NC_005791.1","RefSeq","gene",24061,25230,".","-",".","gene_id MMP0014; gene_name MMP0014;","MMP0014",23861,2,"24028;24041","24041","T1"
